Transaction_ID,Date,Account,Category,Amount
T001,2026-09-01,A001,Shopping,2500
T002,2026-09-01,A002,Food,800
T003,2026-09-01,A003,Travel,15000
T004,2026-09-02,A001,Shopping,4500
T005,2026-09-02,A004,Electronics,75000
T006,2026-09-02,A002,Food,1200
T007,2026-09-03,A001,Shopping,3000
T008,2026-09-03,A003,Travel,25000
T009,2026-09-03,A001,Food,900
T010,2026-09-04,A005,Electronics,95000
T011,2026-09-04,A002,Shopping,3500
T012,2026-09-04,A001,Food,700
T013,2026-09-05,A001,Shopping,6000
T014,2026-09-05,A003,Travel,18000
T015,2026-09-05,A006,Food,500
T016,2026-09-06,A004,Electronics,85000
T017,2026-09-06,A001,Shopping,4000
T018,2026-09-06,A002,Food,1100
T019,2026-09-07,A007,Travel,20000
T020,2026-09-07,A001,Shopping,5500
T020,2026-09-07,A001,Shopping,5500
