Date,City,Temperature,Weather
2026-09-01,Delhi,35,Sunny
2026-09-02,Delhi,33,Rainy
2026-09-03,Delhi,36,Sunny
2026-09-04,Delhi,31,Rainy
2026-09-01,Mumbai,29,Rainy
2026-09-02,Mumbai,30,Sunny
2026-09-03,Mumbai,28,Rainy
2026-09-04,Mumbai,31,Sunny
2026-09-01,Chennai,34,Sunny
2026-09-02,Chennai,35,Sunny
2026-09-03,Chennai,33,Rainy
2026-09-04,Chennai,36,Sunny
2026-09-01,Kolkata,32,Rainy
2026-09-02,Kolkata,31,Rainy
2026-09-03,Kolkata,33,Sunny
2026-09-04,Kolkata,34,Sunny
2026-09-01,Jaipur,37,Sunny
2026-09-02,Jaipur,39,Sunny
2026-09-03,Jaipur,38,Sunny
2026-09-04,Jaipur,36,Rainy
