Date,Stock,Sector,Buy_Price,Current_Price,Quantity
2026-09-20,TCS,IT,3200,3350,10
2026-09-20,INFY,IT,1500,1580,15
2026-09-20,RELIANCE,Energy,1400,1450,20
2026-09-20,HDFCBANK,Banking,1700,1660,12
2026-09-20,ICICIBANK,Banking,1200,1280,15
2026-09-21,TCS,IT,3200,3400,10
2026-09-21,INFY,IT,1500,1600,15
2026-09-21,RELIANCE,Energy,1400,1470,20
2026-09-21,HDFCBANK,Banking,1700,1680,12
2026-09-21,ICICIBANK,Banking,1200,1300,15
2026-09-22,TCS,IT,3200,3420,10
2026-09-22,INFY,IT,1500,1570,15
2026-09-22,RELIANCE,Energy,1400,1490,20
2026-09-22,HDFCBANK,Banking,1700,1650,12
2026-09-22,ICICIBANK,Banking,1200,1310,15
2026-09-23,TCS,IT,3200,3480,10
2026-09-23,INFY,IT,1500,1620,15
2026-09-23,RELIANCE,Energy,1400,1510,20
2026-09-23,HDFCBANK,Banking,1700,1690,12
2026-09-23,ICICIBANK,Banking,1200,1320,15
